FID,OBJECTID,NameInt,Seg_ID_Sco,Seg_Bk_Sco,Seg_LL_Sco,Seg_Wd_Sco,Ones,Twos,Threes,Pop2015,GridNormSc,CSScore,Shape_Leng,Shape_Area,GridScore,Shape__Area,Shape__Length
1,1,1001,0,10,5,0,38,12,0,5573.67632763,19.6721311475,0.692307689379,7162.73268122,3212409.584,1,0.000214369341001,0.059375560698944
2,2,1005,0,15,6,0,32,19,0,5282.49300028,31.1475409836,1.09615384152,5315.97055468,1638553.98909,3,0.00010934287829,0.042511009022265
3,3,1007,1,2,5,0,43,6,1,3525.41443647,11.4754098361,0.403846152138,5233.19699294,1613087.63331,1,0.000107643514645,0.041727922027878
4,4,1008,0,5,5,0,63,7,0,4880.5058626,11.4754098361,0.403846152138,14109.2819051,6847966.70704,1,0.000457011227416,0.112686139488199
5,5,1009,1,0,0,0,3,0,1,110.319279013,1.6393442623,0.0576923074482,5435.82309192,860610.5415,1,5.7426630633e-05,0.047576060382613
6,6,1012,0,1,0,0,33,1,0,2499.98855294,1.6393442623,0.0576923074482,3723.80987724,864430.321047,1,5.7691366785e-05,0.03041142918153
7,7,1015,0,4,1,0,42,4,0,5116.07424509,6.55737704918,0.230769229793,5839.49243649,1899073.64531,1,0.000126742591478,0.049417708715389
8,8,1017,0,12,15,0,44,20,0,4116.18675297,32.7868852459,1.15384614896,5842.87972434,1900062.44124,2,0.000126808561302,0.049450269055428
9,9,1018,0,9,3,0,23,12,0,4061.0716194,19.6721311475,0.692307689379,6779.79892201,1767957.51254,1,0.000117988288724,0.054132766961062
10,10,1019,0,3,4,0,12,5,0,1217.66347504,8.19672131148,0.288461537241,4524.110851,376193.378946,1,2.5105577854e-05,0.034148060433588
11,11,101,0,2,0,0,47,2,0,5893.8650525,3.27868852459,0.115384614896,4725.81789476,980298.074293,1,6.552986818e-05,0.0391108552592
12,12,1021,0,11,11,1,38,16,0,4273.55892463,26.2295081967,0.923076919172,5202.72893787,1476003.32745,1,9.8518152933e-05,0.041586081140982
13,13,1023,0,6,0,0,51,6,0,7154.57209008,9.83606557377,0.346153844689,5963.05178959,1945245.82114,1,0.00012984006317,0.048495379308063
14,14,1024,0,4,1,0,26,4,0,3344.4150271,6.55737704918,0.230769229793,4563.06906938,1266288.05833,1,8.452002937e-05,0.036526637507485
15,15,1025,0,9,0,0,49,9,0,5905.22367673,14.7540983607,0.519230767034,5843.14383322,1901540.93442,1,0.000126918199458,0.049449551938168
16,16,1027,0,4,0,0,56,4,0,4031.03590115,6.55737704918,0.230769229793,5844.20877911,1901253.35576,1,0.000126898974841,0.049461725159736
17,17,1028,0,5,3,0,47,5,0,4842.75129225,8.19672131148,0.288461537241,5858.87657244,1904019.02707,1,0.000127089023091,0.046556478784074
18,18,1029,0,3,4,0,14,7,0,6137.12462985,11.4754098361,0.403846152138,4623.68679311,1284838.60837,1,8.5756376939e-05,0.038519583794451
19,19,1031,0,4,7,1,25,8,0,2129.95885014,13.1147540984,0.461538459586,3868.94997955,923176.668619,1,6.1625634497e-05,0.031585914511178
20,20,1033,0,10,1,0,54,11,0,5064.50102317,18.0327868852,0.63461538193,6214.73719919,2195356.66955,1,0.000146551052082,0.052103193309069
21,21,1039,0,3,1,0,37,4,0,7049.76783969,6.55737704918,0.230769229793,4548.56231184,1268246.35772,1,8.4656252867e-05,0.03781882171765
22,22,1041,0,2,1,0,47,3,0,3031.16920915,4.91803278689,0.173076922345,7273.39775484,2544300.48692,1,0.000169859118918,0.061360054692874
23,23,1043,0,2,2,0,8,3,0,3949.19328586,4.91803278689,0.173076922345,2957.01753314,500357.831928,1,3.3404517442e-05,0.023603488537963
24,24,1044,0,1,1,0,7,2,0,4927.20595556,3.27868852459,0.115384614896,3243.65759354,605014.255385,1,4.0391682927e-05,0.025844108273646
25,25,1045,0,1,0,0,44,1,0,5799.04192907,1.6393442623,0.0576923074482,5422.96213474,1708292.28152,1,0.000114049155461,0.045023445695339
26,26,1049,1,0,0,0,13,0,1,393.038861013,1.6393442623,0.0576923074482,12935.5829131,9904148.80444,1,0.000661222373899,0.106421963928201
27,27,105,0,2,2,0,11,4,0,820.461071232,6.55737704918,0.230769229793,3497.71331471,519875.5274,1,3.475085584e-05,0.028461481384325
28,28,1063,0,1,0,0,63,1,0,3865.10018253,1.6393442623,0.0576923074482,6957.27617526,2831697.65659,1,0.000189067086597,0.058102276329459
29,29,1065,0,2,0,0,14,2,0,8182.99356082,3.27868852459,0.115384614896,3975.24224931,956639.40991,1,6.3873576706e-05,0.032457827216783
30,30,1067,0,1,0,0,56,1,0,4400.69276275,1.6393442623,0.0576923074482,6616.60854933,2673755.11642,1,0.000178526373436,0.055118907567499
