Date Value,Month-Year,Quarter-FY,Annual-FY,Annual-CY,Call Wait Time (minutes) (Monthly),TARGET: Call Wait Time (minutes) - under (Monthly),No. of Estimated Bills (Monthly),Total Bills (including Est. Bills) (Monthly),Estimated Bill Percentage (Monthly),Water Main Breaks (Annual FY),Cumulative Miles of Water Main Replaced (Annual),TARGET: Cumulative Miles of Water Main Replaced (Annual),Per Capita Water Use (gallons per day) (Annually),TARGET: Per Capita Water Use (gallons per day) (Annually),Water Purchased from MWD (Annually),TARGET: Water Purchased from MWD (Monthly),% of DWP Water Sourced From Local Groundwater (Annually),TARGET: % of DWP Water Sourced From Local Groundwater (Annually),CO2 Emissions from all owned and purchased power generation ( in million metric tons) (Annually CY),TARGET: CO2 Emissions from all owned and purchased power generation ( in million metric tons) (Annually CY),Renewables Percentage (Annually),TARGET: Renewables Percentage (Annually),kWh of Power from Energy Efficiency (Monthly FY),TARGET: kWh of Power from Energy Efficiency (Monthly FY),% of DWP power sourced from Coal (Annually CY),TARGET: % of DWP power sourced from Coal (Annually),Cumulative FiT Installations (in KW) (Quarterly),TARGET: Cumulative FiT Installations (in MW) (Quarterly) - TARGET DATE 2016,SIP Installed Capacity (kW) (Quarterly FY),SIP Cumulative Capacity (kW) (Quarterly FY),Avg Interconnect Time (days) (Quarterly FY),TARGET: Avg Interconnect Time (days) (Quarterly FY),"Once Through Cooling (OTC) Flow, (MGD) (Annually CY)","TARGET: Once Through Cooling (OTC) Flow, (MGD) (Annually)",Recycled Water Use in Acre Feet (Monthly),Recycled Water Use in Acre Feet (Annual),TARGET: Recycled Water Use in Acre Feet (Annual),System Average Interruption Frequency Index - SAIFI (Annual),TARGET: System Average Interruption Frequency Index - SAIFI (Annual),System Average Interruption Duration Index: SAIDI (Annual),TARGET: System Average Interruption Duration Index: SAIDI (Annual),"Power Poles Replaced, Installed and Reinforced (Annual FY)","TARGET: Power Poles Replaced, Installed, and Reinforced (Annual FY)"
09/30/2006 12:00:00 AM,Sep-06,Q1 FY07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2006 12:00:00 AM,Dec-06,Q2 FY07,,CY 2006,,,,,,,,,147,,,,,,,,6%,,,,48%,,,,,,,,1571,,,,,,,,,,
03/31/2007 12:00:00 AM,Mar-07,Q3 FY07,,,,,,,,,,,,,,,,,,,,,,,,,,,323.57,10118.91,,,,,,,,,,,,,
06/30/2007 12:00:00 AM,Jun-07,Q4 FY07,FY 2007,,,,,,,2031,14,,,,43.8%,,13.9%,,,,,,,,,,,,351.97,10470.87,,,,,,,,,,,,,
09/30/2007 12:00:00 AM,Sep-07,Q1 FY08,,,,,,,,,,,,,,,,,,,,,,,,,,,430.78,10901.66,,,,,,,,,,,,,
12/31/2007 12:00:00 AM,Dec-07,Q2 FY08,,CY 2007,,,,,,,,,156,,,,,,,,6%,,,,45%,,,,415.21,11316.87,,,1571,,,,,,,,,,
03/31/2008 12:00:00 AM,Mar-08,Q3 FY08,,,,,,,,,,,,,,,,,,,,,,,,,,,621.52,11938.39,,,,,,,,,,,,,
06/30/2008 12:00:00 AM,Jun-08,Q4 FY08,FY 2008,,,,,,,1363,29,,,,64.7%,,11.3%,,,,,,,,,,,,610.56,12548.94,,,,,,,,0.79,0.89,122,93,,
09/30/2008 12:00:00 AM,Sep-08,Q1 FY09,,,,,,,,,,,,,,,,,,,,,,,,,,,520.47,13069.42,,,,,,,,,,,,,
12/31/2008 12:00:00 AM,Dec-08,Q2 FY09,,CY 2008,,,,,,,,,151,,,,,,,,8%,,,,44%,,,,1314.41,14383.83,,,1571,,,,,,,,,,
03/31/2009 12:00:00 AM,Mar-09,Q3 FY09,,,,,,,,,,,,,,,,,,,,,,,,,,,1984.52,16368.35,,,,,,,,,,,,,
06/30/2009 12:00:00 AM,Jun-09,Q4 FY09,FY 2009,,,,,,,1422,47,,,,70.9%,,10.1%,,,,,,,,,,,,879.15,17247.5,,,,,,,,0.69,0.89,78.1,93,2745,2975
09/30/2009 12:00:00 AM,Sep-09,Q1 FY10,,,,,,,,,,,,,,,,,,,,,,,,,,,841.51,18089.01,,,,,,,,,,,,,
12/31/2009 12:00:00 AM,Dec-09,Q2 FY10,,CY 2009,,,,,,,,,141,,,,,,14.6,,14%,,,,41%,,,,1233.2,19322.2,,,1571,,,,,,,,,,
03/31/2010 12:00:00 AM,Mar-10,Q3 FY10,,,,,,,,,,,,,,,,,,,,,,,,,,,765.62,20087.83,,,,,,,,,,,,,
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,,,,,,1453,63,,,,47.7%,,14.2%,,,,,,,,,,,,1809.91,22663.36,,,,,,,,0.84,0.89,120.7,93,3113,2975
09/30/2010 12:00:00 AM,Sep-10,Q1 FY11,,,,,,,,,,,,,,,,,,,,,,,,,,,2461.19,25124.55,,,,,,,,,,,,,
12/31/2010 12:00:00 AM,Dec-10,Q2 FY11,,CY 2010,,,,,,,,,125,,,,,,13.8,,20%,20%,,,39%,,,,3940.34,29064.89,52,,1571,,,,,,,,,,
03/31/2011 12:00:00 AM,Mar-11,Q3 FY11,,,,,,,,,,,,,,,,,,,,,,,,,,,3364.9,32429.79,59,,,,,,,,,,,,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,,,,,,1237,85,,,,31.3%,,9.3%,,,,,,,,,,,,3751.08,36180.88,33,,,,,,,0.8,0.89,114.6,93,2211,2600
09/30/2011 12:00:00 AM,Sep-11,Q1 FY12,,,,,,,,,,,,,,,,,,,,,,,,,,,3932.83,40113.7,33,,,,,,,,,,,,
12/31/2011 12:00:00 AM,Dec-11,Q2 FY12,,CY 2011,,,,,,,,,122,,,,,,14.2,,19%,20%,,,41%,,,,3146.1,43259.81,23,,1571,,,,,,,,,,
03/31/2012 12:00:00 AM,Mar-12,Q3 FY12,,,,,,,,,,,,,,,,,,,,,,,,,,,8257.98,51517.79,24,,,,,,,,,,,,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,,,,,,,1319,102,,,,38.5%,,11.2%,,,,,,,,,,,,3581.68,55099.47,20,,,,,6953,760,0.9,0.89,189.51,93,1813,2100
07/31/2012 12:00:00 AM,Jul-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,,,,,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,,,,,,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,,,,,,,,,,,,,,,,,,,,,,6164.22,61263.69,51,,,,578,,,,,,,,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727,,,,,,,,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,CY 2012,,,,,,,,,123,,,,,,14,,20%,20%,,,33%,,,,3627.96,64891.65,40,,1571,,256,,,,,,,,
01/31/2013 12:00:00 AM,Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
02/28/2013 12:00:00 AM,Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,,,,,,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,,,,,,,,,,,,,,,,,,,,,,,,,,7331.82,72223.47,25,,,,449.7,,,,,,,,
04/30/2013 12:00:00 AM,Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.1,,,,,,,,
05/31/2013 12:00:00 AM,May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980.2,,,,,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,,,,,,,1148,131,,,,68.6%,,10.1%,,,,,,,,,,,79604.89,7381.42,79604.89,20,,,,836,7480,6500,0.48,0.89,71.85,93,1135,5000
07/31/2013 12:00:00 AM,Jul-13,,,,6.08,3,,,,,,,,,,,,,,,,,10723847,,,,,,,,,,,,1226,,,,,,,,
08/31/2013 12:00:00 AM,Aug-13,,,,14.55,3,,,,,,,,,,,,,,,,,30047154,,,,,,,,,,,,860,,,,,,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,17.34,3,137516,896157,15.35%,,,,,,,,,,,,,,48387978,,,,80,,7303.06,86907.95,20,,,,1159,,,,,,,,
10/31/2013 12:00:00 AM,Oct-13,,,,25.89,3,188487,969680,19.44%,,,,,,,,,,,,,,67087896,,,,,,,,,,,,890,,,,,,,,
11/30/2013 12:00:00 AM,Nov-13,,,,31.58,3,160337,750037,21.38%,,,,,,,,,,,,,,81885478,,,,,,,,,,,,782,,,,,,,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,CY 2013,16.91,3,221014,858932,25.73%,,,,131,,,,,,14.3,,23%,20%,107073787,,42%,,200,,11041.45,97949.4,16,,1110,,738,,,,,,,,
01/31/2014 12:00:00 AM,Jan-14,,,,20.09,3,184280,914146,20.16%,,,,,,,,,,,,,,127916039,,,,,,,,,,,,502,,,,,,,,
02/28/2014 12:00:00 AM,Feb-14,,,,31.59,3,125734,820897,15.32%,,,,,,,,,,,,,,145910734,,,,,,,,,,,,1223,,,,,,,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,33.52,3,83717,856093,9.78%,,,,,,,,,,,,,,169624406,,,,700,,3508.73,101458.14,17,,,,455,,,,,,,,
04/30/2014 12:00:00 AM,Apr-14,,,,21.01,3,65502,936881,6.99%,,,,,,,,,,,,,,196051181,,,,,,,,,,,,674,,,,,,,,
05/31/2014 12:00:00 AM,May-14,,,,18.31,3,62543,845043,7.4%,,,,,,,,,,,,,,217537229,,,,,,,,,,,,902,,,,,,,,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,,32.9,3,65618,918777,7.14%,1146,153.5,,,,76.3%,,11.5%,,,,,,251556178,,,,800,,7012,108470,32,,,,1125,10536,8500,0.48,0.89,61.69,93,1599,2580
07/31/2014 12:00:00 AM,Jul-14,,,,40.43,3,59705,831696,7.18%,,,,,,,,,,,,,,15091502,11586333,,,,,,,,,,,1282,,,,,,,,
08/31/2014 12:00:00 AM,Aug-14,,,,39.65,3,53203,851045,6.25%,,,,,,,,,,,,,,31236323,27770667,,,,,,,,,,,1120,,,,,,,,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,,15.66,3,47663,880591,5.41%,,,,,,,,,,,,,,48816619,48553000,,,1967,,5740,114210,24,,,,1325,,,,,,,,
10/31/2014 12:00:00 AM,Oct-14,,,,8.78,3,42369,900328,4.71%,,,,,,,,,,,,,,70243834,69335333,,,,,,,,,,,716,,,,,,,,
11/30/2014 12:00:00 AM,Nov-14,,.,,4.23,3,39844,731493,5.45%,,,,,,,,,,,,,,87218218,94715667,,,,,,,,,,,758,,,,,,,,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,CY 2014,5.72,3,50527,869665,5.81%,,,,123,,,,,,15.1,,20%,20%,110109466,120096000,40%,,5410,,7860,122070,46,,1110,,665,,,,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,3.29,3,45149,893806,5.05%,,,,,,,,,,,,,,127480830,145476333,,,,,,,,,,,448,,,,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,5.95,3,35947,747986,4.81%,,,,,,,,,,,,,,149141574,175454667,,,,,,,,,,,835,,,,,,,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,10.1,3,45257,974523,4.64%,,,,,,,,,,,,,,171825227,205433000,,,7113,,7650,127720,22,,,,443,,,,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,8.53,3,40152,867004,4.63%,,,,,,,,,,,,,,200141255,240009333,,,,,,,,,,,874,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,9.23,3,37668,856259,4.4%,,,,,,,,,,,,,,218890292,274585667,,,,,,,,,,,1006,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,8.81,3,37369,867704,4.31%,1240,174.9,,,,,,,,,,,,251141273,313760000,,,7532,,6000,135620,30,,,,,,10500,,0.68,,90,2393,2400
08/30/2015 12:00:00 AM,Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/29/2015 12:00:00 AM,Sep-15,Q1 FY16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2015 12:00:00 AM,Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2015 12:00:00 AM,Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
