OBJECTID,NAME,DIST_TYPE,TOOLTIP,Shape_Length,Shape_Area
77,Woodland Hills,STRSCAPE,Name: Woodland Hills,21154.2881082079,1833442.74659238
102,Van Nuys Central Business District,STRSCAPE,Name: Van Nuys Central Business District,4444.23669253125,348113.530020802
106,Sun Valley,STRSCAPE,Name: Sun Valley,5483.24755392979,453728.070952617
115,Downtown Canoga Park,STRSCAPE,Name: Downtown Canoga Park,2406.27076472114,195476.494948368
121,Studio City - Cahuenga Pass,STRSCAPE,Name: Studio City - Cahuenga Pass,22185.5632503908,1528387.80379813
127,Pacoima,STRSCAPE,Name: Pacoima,20951.3647947529,1264995.02365191
154,Staples,STRSCAPE,Name: Staples,9572.71074493098,343355.542857207
156,Panorama City,STRSCAPE,Name: Panorama City,9719.79018139333,1875964.33940523
160,Tarzana,STRSCAPE,Name: Tarzana,11187.1416667567,992242.004002366
164,Sherman Oaks,STRSCAPE,Name: Sherman Oaks,15432.8492534156,1289940.57493542
165,Reseda Central Business District,STRSCAPE,Name: Reseda Central Business District,10299.9161309254,767346.601161843
184,Encino,STRSCAPE,Name: Encino,17712.0319649711,1475495.01596876
205,Canoga Park Commercial Corridor,STRSCAPE,Name: Canoga Park Commercial Corridor,2178.60436709203,149048.46968202
